"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Practice Test Automation","0","Login and Alert Handling","1","0","Login with valid credentials","0"
"0","Practice Test Automation","0","Login and Alert Handling","1","0","Work with JavaScript alerts","0"
