"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login using correct username and password and verify success.","4641","Valid Login Test","Surefire suite","Fri Jul 04 15:38:51 IST 2025","passed","Fri Jul 04 15:38:56 IST 2025","com.example.AppTest","Surefire test","com.example.AppTest","testLogin"
"Handle alert, confirm, and prompt dialogs using Selenium.","7277","Handle JS Alerts","Surefire suite","Fri Jul 04 15:38:44 IST 2025","passed","Fri Jul 04 15:38:51 IST 2025","com.example.AppTest","Surefire test","com.example.AppTest","testJSAlerts"
