"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Practice Test Automation","0","Multiple UI Tests","1","0","Login with valid credentials","0"
"0","Practice Test Automation","0","Multiple UI Tests","1","0","Handle JavaScript Alerts","0"
