"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Practice Test Automation","0","Navigation and Login Functionality","1","0","Test browser navigation commands","0"
"0","Practice Test Automation","0","Navigation and Login Functionality","1","0","Login with valid credentials","0"
